chapter,filename,mention_count,text_length,density
35,ch035.txt,38,7911,4.803438250537226
49,ch049.txt,36,7367,4.886656712365957
28,ch028.txt,35,9498,3.6849863129079807
48,ch048.txt,33,6665,4.951237809452364
37,ch037.txt,31,9323,3.3251099431513462
42,ch042.txt,30,7624,3.934942287513116
32,ch032.txt,28,5887,4.756242568370986
34,ch034.txt,28,7216,3.8802660753880267
22,ch022.txt,24,6878,3.4893864495492877
36,ch036.txt,24,6759,3.5508211273857078
8,ch008.txt,21,6410,3.2761310452418098
27,ch027.txt,21,6440,3.260869565217391
50,ch050.txt,19,7062,2.6904559614839987
30,ch030.txt,16,5829,2.744896208612112
45,ch045.txt,15,7785,1.9267822736030829
7,ch007.txt,12,7148,1.6787912702853947
38,ch038.txt,12,5608,2.1398002853067046
29,ch029.txt,11,8753,1.2567119844624701
31,ch031.txt,10,7278,1.3740038472107723
25,ch025.txt,9,6706,1.342081717864599
40,ch040.txt,9,9483,0.9490667510281556
21,ch021.txt,8,5972,1.3395847287340923
26,ch026.txt,7,7341,0.9535485628660946
41,ch041.txt,7,6674,1.0488462691039857
5,ch005.txt,6,7430,0.8075370121130553
44,ch044.txt,4,6684,0.5984440454817475
39,ch039.txt,3,6474,0.4633920296570899
47,ch047.txt,3,7332,0.4091653027823241
4,ch004.txt,2,5459,0.3663674665689687
23,ch023.txt,2,5315,0.37629350893697083
33,ch033.txt,2,4958,0.40338846308995563
43,ch043.txt,2,6924,0.28885037550548814
46,ch046.txt,2,8263,0.2420428415829602
9,ch009.txt,1,5491,0.18211619012930247
24,ch024.txt,1,7781,0.12851818532322323
1,ch001.txt,0,6878,0.0
2,ch002.txt,0,5763,0.0
3,ch003.txt,0,8033,0.0
6,ch006.txt,0,7097,0.0
