chapter,filename,mention_count,text_length,density
7,ch007.txt,12,7148,1.6787912702853947
8,ch008.txt,21,6410,3.2761310452418098
22,ch022.txt,24,6878,3.4893864495492877
25,ch025.txt,9,6706,1.342081717864599
27,ch027.txt,21,6440,3.260869565217391
28,ch028.txt,35,9498,3.6849863129079807
29,ch029.txt,11,8753,1.2567119844624701
30,ch030.txt,16,5829,2.744896208612112
31,ch031.txt,10,7278,1.3740038472107723
32,ch032.txt,28,5887,4.756242568370986
34,ch034.txt,28,7216,3.8802660753880267
35,ch035.txt,38,7911,4.803438250537226
36,ch036.txt,24,6759,3.5508211273857078
37,ch037.txt,31,9323,3.3251099431513462
38,ch038.txt,12,5608,2.1398002853067046
42,ch042.txt,30,7624,3.934942287513116
45,ch045.txt,15,7785,1.9267822736030829
48,ch048.txt,33,6665,4.951237809452364
49,ch049.txt,36,7367,4.886656712365957
50,ch050.txt,19,7062,2.6904559614839987
